ITEM_NAME, FACT, ID_CUST
''POROTO ROJO DON HE'',''123-20200203-8-261'',''528218''
''POROTO ROJO DON HE'',''78-20200304-7-265'',''702764''
''POROTO ROJO DON HE'',''123-20200116-8-372'',''528218''
''POROTO ROJO DON HE'',''50-20200110-2-111'',''425047''
''POROTO ROJO DON HE'',''50-20191209-2-324'',''425047''
''POROTO ROJO DON HE'',''50-20191108-2-198'',''425047''
''LENTEJAS DON HENRY'',''78-20191221-9-155'',''702764''
''LENTEJAS DON HENRY'',''50-20200110-2-111'',''425047''
''XTRA P ALUMINIO25'',''123-20200314-9-26'',''528218''
''XTRA P ALUMINIO25'',''78-20200217-9-108'',''702764''
''XTRA P ALUMINIO25'',''78-20200105-8-8'',''702764''
''ENVASES DE FOAM'',''50-20191022-45-287'',''429188''
''PINA'',''104-20191230-11-223'',''519849''
''PINA'',''50-20191117-9-178'',''419987''
''PEPEL HIG XTRA 600'',''108-20191219-8-148'',''547897''
''Deo Stick AXE'',''108-20200128-6-121'',''547897''
''LIAONING JERING'',''78-20200324-30-15'',''702764''
''CORA 150gr'',''78-20191117-16-61'',''702764''
''2PACK DE BEBIDAS'',''108-20200331-6-125'',''547897''
''BONGUR FRESA 800ML'',''123-20191120-10-159'',''528218''
''Yogurt Beb Dig'',''50-20200322-17-140'',''419987''
''LECHE ENT. 1 4GL'',''108-20191220-16-277'',''985035''
''LECHE ENT. 1 4GL'',''108-20200220-15-137'',''985035''
''NR ZAN 1/2GL'',''123-20200119-3-563'',''1226904''
''DETERGENTE 4D CON'',''108-20200331-6-125'',''547897''
''DETERGENTE 4D CON'',''108-20191219-8-148'',''547897''
''LAVAPLA ROSA 425GR'',''108-20200116-18-381'',''547897''
''FRUTA FRESCA 6 PAC'',''108-20200301-16-229'',''547897''
''REFIL BOUQUET800ML'',''20-20200316-7-120'',''740827''
''REFIL BOUQUET800ML'',''20-20191001-3-269'',''740827''
''TORTILLAS DE MAI'',''20-20200229-3-140'',''740827''
''LAY S REGULAR'',''106-20200301-14-79'',''1502878''
''LA SIRENA SRDN5.5O'',''78-20200301-11-18'',''702764''
''LA SIRENA SRDN5.5O'',''78-20200201-11-74'',''702764''
''Nuggets HERSHEYS'',''106-20191213-15-242'',''1502878''
''GATORADE JUNIOR UV'',''108-20200301-16-229'',''547897''
''Baby Dry PAMPE 6'',''108-20200319-20-65'',''985035''
''CORNADOS NACHO'',''20-20200110-4-203'',''740827''
''GOYA GARBANZOS'',''50-20191106-1-365'',''422110''
''JR Dip/SARGENTO'',''108-20191205-20-260'',''985035''
